,hostel_O,hostel_D,hostel_C,hostel_B,hostel_A,hostel_J,hostel_H,hostel_Q,hostel_K,hostel_I,hostel_M,hostel_PG,library,pool,cos_complex,synthetic_running_track,admin_block,D_block,F_block,E_block,G_block,junction_1,junction_2,junction_3,junction_4,junction_5,junction_6,reservoir_1,reservoir_2
2021-12-01 00:00:00,189.34444138009354,187.26111761850842,198.10630184537322,183.03439491160822,207.01363649827795,182.78448667639915,209.67384042706325,207.40476415542238,94.0425311802291,226.71811430187466,174.92384748225646,179.02025713037278,254.79488793233722,198.64934806642472,191.70903372741384,147.35597977846584,253.07076990184552,259.87863847442424,237.0392917887052,246.9805283744168,233.84239598834307,214.62067159933292,215.39203964861883,215.00009157384667,211.87598445351657,260.42345611836834,262.2548039713629,0.0,0.0
2021-12-01 00:15:00,195.93611493273986,187.32758133487008,192.2803996807751,169.49558651106688,202.10381646592893,194.0317912232951,211.4670835844253,207.41112423555958,168.7626622060984,226.6291548205565,174.99031119860044,179.02661721050654,252.1401061765251,198.84056941891058,187.77701872557225,143.42396477992693,255.4299839805913,260.9488483472871,226.62154136671114,241.13837106839546,233.7697388931456,214.68713531572453,215.41732513383812,215.00645165398453,212.0672058060599,260.3344966370045,262.1821468761312,0.0,0.0
2021-12-01 00:30:00,201.30123839171532,174.96034612298266,192.37893201412456,194.18040165626755,207.03320608219664,182.80405626031055,211.48029308820807,204.560981101501,135.4748910604419,226.7501360278639,188.18813496704098,179.0398267142814,253.68093211675924,208.76604267271418,189.9235733211848,145.5705193737365,257.44984687760365,261.92833733335857,226.67860560145996,251.62158247233214,193.789240377308,214.78566764910576,215.53683849686453,215.0196611577679,212.0663990006767,260.455477844374,262.23921111091227,0.0,0.0
2021-12-01 00:45:00,196.31590922286276,175.24160807962224,203.30837349786802,194.46166361301766,207.0929645975113,194.10475924237926,209.7531685263005,204.620739616814,94.25938557178323,238.5689576731093,188.46939692373905,200.49771745321894,255.20250954321014,204.35909197234773,199.53944382395667,182.9301087193419,255.63560488727776,261.1544692539831,237.17225560012827,247.1134921858619,193.93779704905137,215.06692960593716,215.9479205260429,215.07941967309029,212.09283884555995,260.83107772925354,262.38776778283574,0.0,0.0
2021-12-01 01:00:00,201.69475864646324,187.8196339228318,203.42063179582505,169.98763909888433,202.2313627310659,168.99106754214841,207.59383178762354,207.53867050071148,169.03685609733253,226.95916145621598,188.58165522165692,200.55229569926456,252.47011281232832,209.04104336953964,193.58191806091085,164.58136162010695,255.65588906463174,262.0971781826337,237.19253977747644,241.36427615238443,233.99564397709955,215.17918790390826,216.00057125148788,215.13399791914964,212.34139969753426,260.6645032728333,262.4080519601915,0.0,0.0
2021-12-01 01:15:00,201.3744997537571,197.5606753125316,203.10037290311456,183.27265232331567,202.12611804283594,194.05409280020044,207.48858709938315,207.43342581246924,135.48347413789605,238.38010271601337,175.16210489391048,179.04891878740406,253.86767704447638,204.34123520493497,187.9488124209389,143.5957584751493,257.5747435094105,261.130809213874,237.14859556002705,247.0898321457567,216.0696596850476,214.8589290111577,215.58911882927043,215.02875323089648,212.07498207814365,260.64222277210075,262.36410774272565,0.0,0.0
2021-12-01 01:30:00,201.52420968092136,175.1833174120675,203.25008283028083,183.42236225042697,196.04612799228144,182.82421529820053,207.49965406415336,209.75554631176996,168.81650643530938,227.03242199504476,175.31181482098822,190.90103599470018,255.1091956256591,198.89441364815255,193.41136909539458,164.41081265468543,255.60721023178328,261.1260745984874,245.49353468661425,241.31559731954712,216.06492506966458,215.0086389383427,215.83002228592287,215.03982019566806,212.12105003531804,260.7377638116997,262.3593731273388,0.0,0.0
2021-12-01 01:45:00,201.83799056861812,198.02416612733413,198.8080500719736,170.1308710209524,202.2251274900501,182.9121577806206,211.58839460856754,209.84348879422902,94.27970637450137,226.6597621314756,199.29751363449643,190.98897847712692,253.5905582203292,204.37941277510774,198.2832295140199,181.67389440981478,257.45766026225164,259.8708589986225,245.38118605486088,246.9727488986162,193.797053761947,215.32241982608298,216.1883309652826,215.12776267813246,212.113159648324,260.3651039479393,262.2470244955607,0.0,0.0
2021-12-01 02:00:00,196.32844363147578,187.7199100335217,198.5650942604956,194.47419802163,196.04030095948934,168.89106278594895,207.49382703136,204.57531310660485,94.12538464096173,212.13352044994812,188.4819313323491,200.45229094301408,251.8224150792192,198.7322015273194,198.04027370253974,181.43093859841383,255.2832100688549,260.8020744355439,226.4747674550449,240.99159715669248,215.74092490696742,215.07946401455314,215.9453751537534,215.033993162874,211.95883791443612,260.01680553967395,262.03537296438185,0.0,0.0
2021-12-01 02:15:00,196.19666105067793,187.58812745275216,198.43331167969473,169.7561326288726,196.06315474694654,182.84124205286273,211.51747888077722,207.46151953190866,135.49296424167522,226.62658702509614,175.25085731641337,200.47514473047315,252.13753838106365,204.35072530872645,195.1329965484898,166.1324401068241,252.99398415740697,259.8018527299802,226.6174127174964,241.13424241917963,233.7656102439304,214.94768143372417,215.786338716833,215.0568469503388,212.084472181937,260.33192884154283,262.1780182269141,0.0,0.0
2021-12-01 02:30:00,189.75918749487383,187.67586373324968,192.62868207919956,194.43015172135088,196.0408135981542,182.81890090407418,209.70825465475286,204.5758257452698,168.75615247775357,226.7087127723774,188.43788503207807,179.0546713580429,252.21966412838069,198.834059690562,197.99622740225684,181.38689229814534,253.08444324725318,261.957603539218,226.70787180730343,241.22470150900932,233.85606933374606,215.03541771426126,215.9013288534616,215.03450580153904,212.06069607770934,260.41405458886624,262.26847731677236,0.0,0.0
